year.bin,p_bin_centred,bin_interval,journal,mean_percent
2010-2012,0.005,"(0, 0.01)",SPPS,36.0424778761062
2010-2012,0.015,"(0.01, 0.02)",SPPS,11.320353982300885
2010-2012,0.025,"(0.02, 0.03)",SPPS,19.339823008849557
2010-2012,0.034999999999999996,"(0.03, 0.04)",SPPS,13.854867256637169
2010-2012,0.045,"(0.04, 0.05)",SPPS,19.442477876106196
2016-2019,0.005,"(0, 0.01)",SPPS,59.28503937007874
2016-2019,0.015,"(0.01, 0.02)",SPPS,13.970078740157481
2016-2019,0.025,"(0.02, 0.03)",SPPS,9.943307086614173
2016-2019,0.034999999999999996,"(0.03, 0.04)",SPPS,9.549606299212599
2016-2019,0.045,"(0.04, 0.05)",SPPS,7.251968503937007
